id,State,Cost per Home
6073,Hawaii,438.830184905547
6019,Alaska,399.382229484182
42071,California,296.496434535241
6107,Utah,287.372833431666
6099,South Dakota,277.306364791498
6077,Texas,274.15211349033
53077,Arizona,272.064786950013
47059,Georgia,271.975274994028
41005,Louisiana,270.139784891452
15001,Indiana,268.66928464169
27145,Idaho,268.659230294778
6065,Colorado,268.486578745867
55073,New Mexico,267.88512067384
48149,Wyoming,263.671149490374
8123,Delaware,260.788470420288
5143,Alabama,259.670628986589
27111,Oklahoma,258.152972825767
48285,South Carolina,257.931341334624
6047,Illinois,256.250995382954
6097,Missouri,255.053536249141
12057,Nebraska,253.333589556517
55025,North Dakota,251.687851222963
41047,Ohio,250.706956485017
48467,Mississippi,250.039506902829
5007,Kansas,248.169887132112
1043,Tennessee,248.01460403351
29077,New York,247.915923699252
21009,Arkansas,247.226020961658
21199,Montana,245.567725766861
55043,Virginia,244.1931800721
55019,Kentucky,243.979441505391
55123,North Carolina,243.604569931238
48367,Michigan,240.676063615402
48231,Pennsylvania,238.356706763454
1049,New Jersey,238.19199383053
41043,Nevada,234.271460359527
51191,Connecticut,233.552535335369
41039,Maryland,233.128285101106
48477,Florida,230.984407366576
21227,District of Columbia,230.191304134281
47073,Rhode Island,229.265567002124
39037,Iowa,228.672287864794
48309,Vermont,223.366476340487
55027,West Virginia,222.97184975477
48029,Wisconsin,216.641619293549
47179,Maine,216.40408181027
41019,Washington,215.935640159986
27153,Oregon,211.952089384774
27097,Massachusetts,211.058394719382
48181,Minnesota,211.025771244462
19167,New Hampshire,208.554395509665
